수집일시,기관코드,기관명,지점코드,지점명,풍향,풍속,기온,습도,기압
95,20210101155000,101,부산청,994401584,부산항신항중앙C호등부표,127,3.6,3.9,52,1023.2
96,20210101160000,101,부산청,994401584,부산항신항중앙C호등부표,140,3.7,3.6,52,1023.1
97,20210101161000,101,부산청,994401584,부산항신항중앙C호등부표,136,3.3,4,54,1023.2
98,20210101162000,101,부산청,994401584,부산항신항중앙C호등부표,133,3.4,4.1,56,1023.2
99,20210101163000,101,부산청,994401584,부산항신항중앙C호등부표,148,2.7,3.5,53,1023.2
100,20210101164000,101,부산청,994401584,부산항신항중앙C호등부표,129,2.5,3.7,54,1023.2
101,20210101165000,101,부산청,994401584,부산항신항중앙C호등부표,146,2.4,3.6,54,1023.2
102,20210101170000,101,부산청,994401584,부산항신항중앙C호등부표,146,3,3.1,52,1023.2
103,20210101171000,101,부산청,994401584,부산항신항중앙C호등부표,153,3,3.8,52,1023
104,20210101172000,101,부산청,994401584,부산항신항중앙C호등부표,154,3.3,3.8,53,1023.2
105,20210101173000,101,부산청,994401584,부산항신항중앙C호등부표,192,2.9,3.9,54,1023.2
106,20210101174000,101,부산청,994401584,부산항신항중앙C호등부표,200,2.1,3.8,52,1023.1
107,20210101175000,101,부산청,994401584,부산항신항중앙C호등부표,192,2.2,3.6,50,1023
108,20210101180000,101,부산청,994401584,부산항신항중앙C호등부표,181,2.1,3.7,52,1023.2
109,20210101181000,101,부산청,994401584,부산항신항중앙C호등부표,200,2.7,4.1,56,1023.2
110,20210101182000,101,부산청,994401584,부산항신항중앙C호등부표,196,3,4,55,1023.1
111,20210101183000,101,부산청,994401584,부산항신항중앙C호등부표,168,2.5,4.1,55,1023.2
112,20210101184000,101,부산청,994401584,부산항신항중앙C호등부표,164,2.1,3.8,56,1023.3
113,20210101185000,101,부산청,994401584,부산항신항중앙C호등부표,157,2.2,4,55,1023.2
114,20210101190000,101,부산청,994401584,부산항신항중앙C호등부표,171,3,3.2,51,1023.2
115,20210101191000,101,부산청,994401584,부산항신항중앙C호등부표,178,3.5,3.7,50,1023.1
116,20210101192000,101,부산청,994401584,부산항신항중앙C호등부표,184,3.1,3.3,50,1023.3
117,20210101193000,101,부산청,994401584,부산항신항중앙C호등부표,186,3.1,3.8,51,1023.4
118,20210101194000,101,부산청,994401584,부산항신항중앙C호등부표,193,3.5,3.7,51,1023.5
119,20210101195000,101,부산청,994401584,부산항신항중앙C호등부표,188,3.2,3.2,52,1023.6
120,20210101200000,101,부산청,994401584,부산항신항중앙C호등부표,173,3.3,3.9,51,1023.7
121,20210101201000,101,부산청,994401584,부산항신항중앙C호등부표,176,4.1,3.6,52,1023.6
122,20210101202000,101,부산청,994401584,부산항신항중앙C호등부표,154,3.5,3.6,53,1023.7
123,20210101203000,101,부산청,994401584,부산항신항중앙C호등부표,165,3.2,4,55,1023.8
124,20210101204000,101,부산청,994401584,부산항신항중앙C호등부표,173,3.8,3.4,53,1023.8
125,20210101205000,101,부산청,994401584,부산항신항중앙C호등부표,178,3.9,3.6,51,1023.8
126,20210101210000,101,부산청,994401584,부산항신항중앙C호등부표,183,3,3,50,1023.9
127,20210101211000,101,부산청,994401584,부산항신항중앙C호등부표,172,3.3,3.6,53,1023.8
128,20210101212000,101,부산청,994401584,부산항신항중앙C호등부표,165,2.9,3.5,51,1023.9
129,20210101213000,101,부산청,994401584,부산항신항중앙C호등부표,197,3.2,3.6,54,1023.8
130,20210101214000,101,부산청,994401584,부산항신항중앙C호등부표,178,3.5,3.7,56,1023.7
131,20210101215000,101,부산청,994401584,부산항신항중앙C호등부표,158,3.5,3.5,54,1023.7
132,20210101220000,101,부산청,994401584,부산항신항중앙C호등부표,162,2.8,3.2,53,1023.8
133,20210101221000,101,부산청,994401584,부산항신항중앙C호등부표,179,2.5,2.7,52,1023.9
134,20210101222000,101,부산청,994401584,부산항신항중앙C호등부표,152,3.1,3,53,1023.9
135,20210101223000,101,부산청,994401584,부산항신항중앙C호등부표,158,3,3.4,55,1023.9
136,20210101224000,101,부산청,994401584,부산항신항중앙C호등부표,144,3.3,3.4,55,1023.9
137,20210101225000,101,부산청,994401584,부산항신항중앙C호등부표,156,3,2.9,56,1023.9
138,20210101230000,101,부산청,994401584,부산항신항중앙C호등부표,140,3.4,3.3,54,1023.9
139,20210101231000,101,부산청,994401584,부산항신항중앙C호등부표,135,2.9,3.5,57,1024
140,20210101232000,101,부산청,994401584,부산항신항중앙C호등부표,124,2.8,2.3,54,1023.9
141,20210101233000,101,부산청,994401584,부산항신항중앙C호등부표,137,2.8,2.5,53,1023.9
142,20210101234000,101,부산청,994401584,부산항신항중앙C호등부표,121,2.9,2.9,55,1023.8
143,20210101235000,101,부산청,994401584,부산항신항중앙C호등부표,133,2.4,2.9,55,1023.6
